State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.25306	6.25774	6.24056	6.18434	6.18434	6.07034	6.02349	5.90324	5.67367	5.38944	5.07710	4.80224	4.59141	4.35090	4.12133	3.91675	3.71061	3.55287	3.43418	3.32018	3.24678
2	2.09253	2.10171	2.11710	2.13250	2.13628	2.15167	2.16490	2.19190	2.21864	2.26454	2.31747	2.34448	2.36554	2.39011	2.40199	2.41955	2.41766	2.42306	2.42306	2.42144	2.41226
3	0.62553	0.60113	0.58782	0.57340	0.58228	0.57673	0.56564	0.56786	0.57784	0.58117	0.56786	0.56786	0.53680	0.51129	0.50797	0.48689	0.47913	0.49687	0.50797	0.52017	0.51462
4	4.52384	4.67464	4.45347	4.29263	4.15188	3.84024	3.63918	3.34764	3.12648	3.07621	2.91537	2.54341	2.41272	2.25187	2.40266	2.40266	2.51325	2.57356	2.40266	2.27198	2.33229
5	4.25394	4.18894	4.14561	4.15283	3.97227	3.90366	3.76644	3.60032	3.38366	3.17782	3.06948	3.03698	3.22838	3.28254	3.31504	3.40532	3.49199	3.42338	3.32588	3.34032	3.32949
6	2.49290	2.40715	2.34590	2.31221	2.37040	2.45615	2.51127	2.51433	2.70115	2.62152	2.59090	2.83896	2.72259	2.78690	2.77771	2.75934	2.77771	2.72565	2.84509	2.75627	2.72565
7	0.53821	0.56054	0.59404	0.64094	0.67443	0.64094	0.72803	0.75036	0.76600	0.68113	0.49801	0.53151	0.57171	0.58957	0.62307	0.65880	0.56277	0.56947	0.54491	0.61637	0.61190
8	0.56958	0.56990	0.56939	0.56930	0.56990	0.57135	0.57140	0.57271	0.57412	0.58118	0.58904	0.59044	0.59386	0.59732	0.60130	0.60331	0.60897	0.61323	0.61809	0.62057	0.62516
9	1.16812	1.17415	1.18018	1.17536	1.17174	1.18622	1.18984	1.19225	1.19949	1.18380	1.18622	1.19949	1.20190	1.19828	1.21035	1.22001	1.23207	1.23569	1.22604	1.23569	1.23811
10	3.78704	3.75039	3.81758	3.82980	3.81758	3.90920	3.83590	3.89088	3.99471	3.97639	3.87866	3.78704	3.72596	3.64655	3.49385	3.48774	3.59158	3.57936	3.49385	3.57325	3.54271
