State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.05037	0.95388	0.88220	0.79260	0.71679	0.65200	0.62719	0.63546	0.64649	0.68095	0.70438	0.73195	0.74711	0.76503	0.80638	0.85601	0.96490	1.11378	1.29159	1.49009	1.75061
2	1.57215	1.52281	1.44464	1.33571	1.20605	1.05255	0.89262	0.73412	0.61017	0.54224	0.51674	0.51603	0.53867	0.56942	0.63544	0.77511	0.99034	1.22845	1.41317	1.57048	1.67917
3	1.71902	1.61525	1.41751	1.18452	0.86441	0.65393	0.53157	0.47870	0.45912	0.44346	0.42976	0.43269	0.44640	0.47968	0.56387	0.88692	1.67693	2.73223	3.76110	4.49237	4.97890
4	7.56889	9.30805	11.65946	14.10848	16.35342	16.68173	15.05792	11.71270	8.23438	5.69663	5.59903	10.77214	21.66850	36.21177	49.65476	55.85716	53.33716	45.25362	35.96332	28.12823	22.15653
5	4.71733	5.43130	6.38433	8.39239	11.75508	16.93139	24.30381	33.55042	42.86396	45.41068	46.71751	51.57508	47.66097	40.01125	30.37897	21.33954	14.28586	9.97014	7.20668	5.52374	4.36991
6	3.73573	4.22230	5.12244	6.04962	7.06600	8.00669	8.58516	8.67166	8.12833	10.35842	11.17477	5.78742	4.84943	4.99540	6.03340	7.06059	7.07411	5.85499	4.77374	3.97361	3.40866
7	0.93039	0.92053	0.89688	0.99543	1.12750	1.35418	1.41726	1.53159	1.47837	1.59269	1.73856	1.57495	1.18466	0.88111	0.70173	0.58938	0.53221	0.48885	0.52236	0.51644	0.57164
8	0.70438	0.68894	0.67077	0.64211	0.60705	0.55683	0.49956	0.43443	0.37670	0.34040	0.31802	0.31773	0.33144	0.35002	0.37059	0.39314	0.41548	0.43402	0.44794	0.45933	0.46677
9	0.82653	0.81695	0.81375	0.80949	0.77860	0.74984	0.74132	0.71576	0.69126	0.68168	0.67209	0.67635	0.68061	0.68381	0.69552	0.71576	0.72748	0.71789	0.72748	0.74026	0.74878
10	7.82821	8.75013	9.50492	10.36214	10.64788	10.78266	9.88231	8.26491	6.38334	5.13255	4.48559	4.22680	4.70663	5.95742	7.63952	9.24074	10.21118	10.82040	10.79884	10.10336	9.48874
