State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.22629	1.12536	6.76347	2.28832	5.07450	0.70440	0.90033	0.20931
2	12.87523	0.57170	2.19193	1.98226	2.31744	0.51676	1.04216	0.44221
3	3.13482	0.08727	0.65056	2.26505	0.56792	0.42977	1.31420	0.31056
4	0.34585	7.94617	3.42284	2.10363	2.91567	5.59920	19.39975	0.26576
5	0.96280	62.78162	8.27694	1.41760	3.06980	46.71575	20.88693	0.44759
6	1.13527	7.77929	2.64317	1.33575	2.59117	11.17511	6.21404	0.56801
7	1.55685	0.15009	0.74487	0.65361	0.49806	1.73861	1.14035	1.25241
8	74.31250	0.11759	0.49157	0.74405	0.58910	0.31803	0.50847	1.16636
9	2.88118	0.45194	1.01063	0.59618	1.18634	0.67211	0.78705	0.93350
10	0.56921	13.28277	3.38455	1.13605	3.87906	4.48573	8.35466	0.67633
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
