State (Emission order)	H3k36me3	H4k20me1	H3k79me2	H3k27ac	H3k4me2	H3k4me3	H3k4me1	H2az	H3k27me3	H3k09me3
1	0.3961337345047129	0.05364586913236471	0.023216383260991	0.01823536827134351	0.0010209966347369415	4.5657710825447277E-4	0.006571345505550175	1.087753016781616E-4	0.0017285998285834336	0.009595928298146575
2	0.012595758746081478	0.017976192060786645	0.01798382027116154	0.007385061089783733	5.557470758186326E-4	2.746700571218263E-4	0.010247315190135421	3.116128824122497E-4	0.003134003636192986	0.005759093461957406
3	0.02991338219891701	0.07239573273602284	0.7059527293086033	0.01634826777581156	0.014059017126898084	0.001526642842677785	0.03290615066258472	7.240689020694131E-4	0.0017880177080173798	0.013861941610485479
4	0.090069689245839	0.1872968409729654	0.9083595610169732	0.2290461845366432	0.8881110235966196	0.6675839838281095	0.19551188757635873	0.10368182389756708	0.05161393332859343	0.05642663106283839
5	5.546069346435305E-4	0.024709057652406975	0.007498610498159406	0.1998825778257863	0.9469765678657294	0.8894454100209955	0.1740911073532671	0.2730126742562644	0.18816707979980649	0.00280612035834225
6	0.0038243686258379503	0.027279785632944958	0.011858641127833913	0.08374781197631359	0.29346044825258844	0.031193204607219645	0.32684593778608734	0.07746153799583419	0.010143000023373492	0.0063885398416003835
7	0.003456172569453165	0.009054860215016662	0.001589170145166539	0.03306454838160916	0.03455930623433279	0.003690180736155925	0.07233853293350306	0.5078261095802801	0.006546252608014862	0.022891229671588572
8	5.024763424914373E-4	0.0025849977631616262	3.74341470846886E-4	0.002063414183363148	1.551586713244236E-4	1.1712849144860061E-4	0.002050559024291105	0.007362810743184975	0.0019143810566415703	0.007220457948901322
9	0.014317193290997982	0.003912409572372508	0.002424022815067378	0.003333356968540998	4.953764957340004E-4	9.904627990438414E-4	0.0019261058047755168	0.002853484491995499	0.011671414185369882	0.2881903176977683
10	0.001224480977394403	0.07709922159447129	0.0020685228167793314	0.0012637413540474152	0.16815849890342643	0.021271404796546607	0.10321379149648582	0.005501665629250569	0.759126824380235	0.011979707389845074
